symbol,name,is_digit,is_char,is_sep
0,digit_0,True,False,False
1,digit_1,True,False,False
2,digit_2,True,False,False
3,digit_3,True,False,False
4,digit_4,True,False,False
5,digit_5,True,False,False
6,digit_6,True,False,False
7,digit_7,True,False,False
8,digit_8,True,False,False
9,digit_9,True,False,False
a,character_a,False,True,False
b,character_b,False,True,False
c,character_c,False,True,False
d,character_d,False,True,False
e,character_e,False,True,False
f,character_f,False,True,False
g,character_g,False,True,False
h,character_h,False,True,False
i,character_i,False,True,False
j,character_j,False,True,False
k,character_k,False,True,False
l,character_l,False,True,False
m,character_m,False,True,False
n,character_n,False,True,False
o,character_o,False,True,False
p,character_p,False,True,False
q,character_q,False,True,False
r,character_r,False,True,False
s,character_s,False,True,False
t,character_t,False,True,False
u,character_u,False,True,False
v,character_v,False,True,False
w,character_w,False,True,False
x,character_x,False,True,False
y,character_y,False,True,False
z,character_z,False,True,False
A,character_A,False,True,False
B,character_B,False,True,False
C,character_C,False,True,False
D,character_D,False,True,False
E,character_E,False,True,False
F,character_F,False,True,False
G,character_G,False,True,False
H,character_H,False,True,False
I,character_I,False,True,False
J,character_J,False,True,False
K,character_K,False,True,False
L,character_L,False,True,False
M,character_M,False,True,False
N,character_N,False,True,False
O,character_O,False,True,False
P,character_P,False,True,False
Q,character_Q,False,True,False
R,character_R,False,True,False
S,character_S,False,True,False
T,character_T,False,True,False
U,character_U,False,True,False
V,character_V,False,True,False
W,character_W,False,True,False
X,character_X,False,True,False
Y,character_Y,False,True,False
Z,character_Z,False,True,False
+,plus,False,False,True
-,minus,False,False,True
*,multiplier,False,False,True
/,divider,False,False,True
(,open_p,False,False,True
),close_p,False,False,True
\n,new_line,False,False,True
 ,space,False,False,True
:,colon,False,False,True
=,equals,False,False,True
$,eof,False,False,True
.,dot,False,False,False
